city_1,lat_1,lng_1,country_1,city_2,lat_2,lng_2,country_2,calc_distance_km,dist_km,duration_sec,estd_emissions_gm,estd_emissions_osrm_gm
Bremen,53.0833,8.8,Germany,Jonkoping,57.7828,14.1606,Sweden,623.1873465364783,910.9699,34914.2,119651.97053500384,174906.2208
Bremen,53.0833,8.8,Germany,Rouen,49.4428,1.0886,France,673.0077565850057,821.4861,30531.6,129217.4892643211,157725.3312
Bremen,53.0833,8.8,Germany,Zilina,49.2228,18.74,Slovakia,816.3115021012446,1033.2253,37492.3,156731.80840343898,198379.2576
Bremen,53.0833,8.8,Germany,Klagenfurt,46.6167,14.3,Austria,820.2738285077446,1116.9627,39173.2,157492.57507348695,214456.8384
Orenburg,51.7667,55.1,Russia,Astrakhan,46.35,48.035,Russia,792.6645307705637,1065.2918,67247.9,152191.58990794822,204536.0256
Orenburg,51.7667,55.1,Russia,Penza,53.2,45.0,Russia,703.7940309643493,820.8349000000001,40497.1,135128.45394515508,157600.30080000003
Orenburg,51.7667,55.1,Russia,Kirov,58.6,49.65,Russia,835.5500865902683,1024.4576,53443.1,160425.61662533152,196695.8592
Orenburg,51.7667,55.1,Russia,Cheboksary,56.1333,47.25,Russia,707.6078078692792,885.9129,44835.2,135860.69911090162,170095.2768
Dresden,51.05,13.74,Germany,Poznan,52.4083,16.9336,Poland,267.4050196073948,362.0139,14962.0,51341.763764619805,69506.6688
Dresden,51.05,13.74,Germany,Hannover,52.3667,9.7167,Germany,314.2680098471577,369.3848,13135.3,60339.45789065428,70921.8816
Dresden,51.05,13.74,Germany,Lyon,45.76,4.84,France,882.1936524181493,1105.9912,39199.1,169381.18126428468,212350.3104
Dresden,51.05,13.74,Germany,Gdansk,54.3475,18.6453,Poland,494.35762231364833,661.4811,25788.5,94916.66348422048,127004.3712
Dresden,51.05,13.74,Germany,Bratislava,48.1439,17.1097,Slovakia,404.6481069114348,476.2322,18294.2,77692.43652699549,91436.5824
Dresden,51.05,13.74,Germany,Kaliningrad,54.7003,20.4531,Russia,607.2364318975086,816.1756,33126.6,116589.39492432165,156705.7152
Dresden,51.05,13.74,Germany,Zurich,47.3744,8.5411,Switzerland,557.0274429780518,734.6890999999999,26649.6,106949.26905178594,141060.30719999998
Dresden,51.05,13.74,Germany,Sarajevo,43.8564,18.4131,Bosnia and Herzegovina,873.529054630381,1181.6832,48268.8,167717.57848903316,226883.1744
Dresden,51.05,13.74,Germany,Szczecin,53.4325,14.5481,Poland,270.786201913264,342.4698,12870.9,51990.95076734669,65754.2016
Dresden,51.05,13.74,Germany,Bologna,44.4939,11.3428,Italy,750.6523216041088,1022.4438,37790.3,144125.2457479889,196309.2096
Dresden,51.05,13.74,Germany,Brno,49.1925,16.6083,Czechia,291.1032532212482,351.756,13681.8,55891.82461847966,67537.152
Dresden,51.05,13.74,Germany,Kaunas,54.8972,23.8861,Lithuania,803.7447826219773,1017.7374,40306.3,154318.99826341963,195405.5808
Dresden,51.05,13.74,Germany,Novi Sad,45.2542,19.8425,Serbia,787.7488522776953,957.1932,35513.2,151247.7796373175,183781.0944
Dresden,51.05,13.74,Germany,Malmo,55.6058,13.0358,Sweden,509.1842531944507,992.5428,36643.6,97763.37661333453,190568.2176
Dresden,51.05,13.74,Germany,Bydgoszcz,53.1219,18.0003,Poland,371.9523470086754,488.9207,19667.3,71414.85062566568,93872.7744
Dresden,51.05,13.74,Germany,Brest,52.1347,23.6569,Belarus,697.1800980007846,826.3897,34319.8,133858.57881615064,158666.8224
Dresden,51.05,13.74,Germany,Debrecen,47.53,21.6392,Hungary,694.7191114063712,902.4558,34031.2,133386.06939002327,173271.5136
